1 'em	'em
21666 horopter	horopter
21667 horopteric	horopteric
21668 horoscoper	la so tu vi
21669 horoscopist	nha nghien cuu tu vi
21670 horoscopy	tu vi
21671 horrent	chung that la kinh khung
21672 horror	rung ron
21673 horror-sticken	theu thua kinh di
21674 hors de combat	ra khoi cuoc chien
21675 horse guards	linh gac ngua
21676 horse power	ma luc
21677 horse-chestnut	hat de ngua
21678 horse-jockey	nai ngua
21679 horse-leech	con dia ngua
21680 horse-leechery	con bao ngua
21681 horse-litter	phan ngua
21682 horse-radish	cai ngua
21683 horseback	lung ngua
21684 horseflesh	thit ngua
21685 horsefoot	chan ngua
21686 horsehair	long ngua
21687 horsehead	dau ngua
21688 horseknop	Horseknope
21689 horselaugh	ngua cuoi
21690 horsemanship	tau ngua
21691 horseshoe	mong ngua
21692 horseshoeing	dong mong ngua
21693 horseweed	vai ngua
21694 horseworm	giun ngua
21695 horsiness	ky ma
21696 horsly	con ngua
21697 horsy	co ngua
21698 hortatory	loi ho hao
21699 horticultural	lam vuon
21700 horticulture	nghe lam vuon
21701 hortulan	nguoi lam vuon
21702 hortus siccus	vuon kho
21703 hosanna	hosanna
21704 hosannas	hosannas
21705 hosier	ke thu dich
21706 hosiery	hang det kim
21707 hospitably	hieu khach
21708 hospitalize	nhap vien
21709 hospitate	hosp thay doi
21710 hospitium	long hieu khach
21711 hostage	con tin
21712 hostess-ship	tiep vien tau
21713 hostilize	thu dich
21714 hosting	luu tru
21715 hostler	may chu
21716 hot	nong
21717 hot blast	vu no nong
21718 hot-brained	dau oc nong nay
21719 hot-livered	song nong bong
21720 hot-mouthed	nong mieng
21721 hot-short	nong ngan
21722 hot-spirited	tinh than nong nay
21723 hotbed	giuong nong
21724 hotcockles	hotcock
21725 hotel-de-ville	khach san de ville
21726 hoten	nhung moi de doa
21727 hotfoot	chan nong
21728 hothouse	hothouse
21729 hotly	nong bong
21730 hotpress	bao chi nong
21731 hotpressed	an mac nong bong
21732 hottentotism	chu nghia nong nay
21733 houdah	day la
21734 hough	hough
21735 houghed	houghed
21736 houghing	houghing
21737 hoult	hoult
21738 hound's-tongue	luoi cho san
21739 houndfish	ca cho san
21740 houp	houp
21741 hourglass	dong ho cat
21742 houri	hoc thuyet phap ly
21743 houris	houris
21744 hourly	hang gio
21745 housebote	con nha noi
21746 housebreaker	tho sua nha
21747 housebreaking	dong tho
21748 housebuilder	tho xay nha
21749 housecarl	housecarl
21750 household	ho gia dinh
21751 housekeeper	Nguoi quan gia
21752 housekeeping	don phong
21753 housel	housel
21754 houseleek	houseleek
21755 houselessness	khong co nha o
21756 houseline	houseline
21757 housemaid	nguoi giup viec nha
21758 housemate	ban chung phong
21759 houseroom	phong trong nha
21760 housewarming	tan gia
21761 housewifery	noi tro
21762 housewive	ba noi tro
21763 housewright	nguoi lam trong nha
21764 houyhnhnm	ho nhu the nao
21765 hovel	cuoc dat
21766 hovelled	deo got
21767 hover-hawk	hover-hawk
21768 howadji	Ne tranh
21769 howbeit	howbeit
21770 howdah	howdah
21771 howitz	howitz
21772 howitzer	luu phao
21773 howled	hu len
21774 howlet	tieng hu
21775 howling	ru len
21776 howp	su nguy hiem
21777 howso	howso
21778 howsoever	du sao di nua
21779 howve	lam the nao da
21780 hox	hox
21781 hoyden	hoyden
21782 hoymen	hoymen
21783 huanaco	huanaco
21784 hubble-bubble	bong bong huyen nao
21785 hubbub	huyen nao
21786 hubby	mum mim
21787 hubner	hubner
21788 huch	hlu
21789 huchen	Hu Chen
21790 huckaback	cai huckaback
21791 huckle	tieng gu
21792 huckleberry	huckleberry
21793 huckster	huckster
21794 hucksterage	hucksterage
21795 huckstered	giau giem
21796 hucksterer	nguoi ban hucksterer
21797 hud	hu hu
21798 huddler	nguoi om dom
21799 huddling	tum tum lai
21800 hudge	hich hich
21801 hudibrastic	tieng noi hudibrastic
21802 hudsonian	hudsonian
21803 hueless	khong co mau sac
21804 huffcap	cai mu luoi trai
21805 huffer	huffer
21806 huffing	huych toet
21807 huffy	huffy
21808 hugger-mugger	nguoi om ap
21809 hugging	om
21810 huggle	om nhau
21811 huguenot	huguenot
21812 huguenotism	huguenots
21813 hugy	hugy
21814 huia bird	Chim huia
21815 huisher	huisher
21816 huke	Khum num
21817 hulan	uhlan
21818 hulch	hulch
21819 hulchy	hulchy
21820 hulk	hulk
21821 hulling	vo tau
21822 hully	hully
21823 hulotheism	benh hulotheism
21824 hulver	nguoi che cho
21825 human	Nhan loai
21826 humanist	nha nhan van
21827 humanistic	nhan van
21828 humanitarianism	chu nghia nhan dao
21829 humanitian	thuoc ve loai nguoi
21830 humanities	khoa hoc nhan van
21831 humanizer	nguoi lam nhan van
21832 humanizing	nhan hoa
21833 humankind	loai nguoi
21834 humbird	chim ruoi
21835 humbled	ha minh
21836 humblehead	nguoi khiem ton
21837 humbler	nguoi kho khao
21838 humblesse	humblesse
21839 humbly	khiem nhuong
21840 humbug	con cho nho
21841 humbugged	humbugged
21842 humbugger	humbugger
21843 humbuggery	humbuggery
21844 humdrum	humdrum
21845 humect	humect
21846 humectant	humectant
21847 humectation	su giu am
21848 humective	humective
21849 humeral	humeral
21850 humerus	xuong canh tay
21851 humic	humic
21852 humicubation	su ngam nga
21853 humifuse	humifuse
21854 humiliating	lam nhuc
21855 humiliation	sụ sỉ nhục
21856 humilities	su khiem ton
21857 humin	humin
21858 hummel	hummel
21859 hummeler	hummeler
21860 hummer	hummer
21861 hummocky	hummocky
21862 hummum	Ngon doi
21863 humoral	thuoc ve the chat
21864 humoralism	chu nghia nhan van
21865 humorism	chu nghia hai huoc
21866 humorist	nha hai huoc
21867 humorize	lam hai huoc
21868 humorously	hai huoc
21869 humorousness	tinh hai huoc
21870 humorsomely	mot cach nhan van
21871 humorsomeness	tinh nhan hau
21872 humph	cai buou
21873 humpless	khong co buou
21874 humpy	co buou
21875 humstrum	hummus
21876 humulin	su loi keo
21877 humus	mun
21878 hunchback	lung gu
21879 hunchbacked	gu lung
21880 hunching	gap nguoi
21881 hundredfold	gap tram lan
21882 hundredth	phan tram
21883 hundredweight	tram can
21884 hung	hung
21885 hungary	hungary
21886 hunger	nan doi
21887 hunger-bit	hoi doi
21888 hunger-bitten	an xin
21889 hunk	mot nguoi dan ong
21890 hunker	nguoi hun duc
21891 hunkerism	chu nghia hun duc
21892 hunks	hunks
21893 hunt's-up	san lung
21894 hunt-counter	truy cap
21895 hunte	nguoi di san
21896 hunted	bi san duoi
21897 hunting	san ban
21898 huntsmanship	tay nghe san ban
21899 hurdle	rao
21900 hurkaru	Hurkaru
21901 hurlbone	xuong rong
21902 huron-iroquous	huron-iroquois
21903 huronian	huronian
21904 hurons	hurons
21905 hurrah	tieng hoan ho
21906 hurried	gap rut
21907 hurst	hurst
21908 hurter	nguoi vuot rao
21909 hurting	lam ton thuong
21910 hurtle	vuot rao
21911 husbandable	chong duoc
21912 husbandage	chong con
21913 husbanding	lam chong
21914 husbandless	khong chong
21915 husbandly	chong
21916 husbandmen	nguoi chong
21917 husher	tho dong trau
21918 hushing	tieng tho gap
21919 husking	vo cay
21920 hussar	hussar
21921 hussite	Hussite
21922 huswifery	nha nong nghiep
21923 hutch	cai hutch
21924 hutchunsonian	ngay ho mua xuan oi nam
21925 huttonian	huttonian
21926 huxter	huxter
21927 huyghenian	huyghenian
21928 huzz	huzz
21929 huzza	huzza
21930 huzzaed	huzzaed
21931 huzzaing	huzzaing
21932 hy	hy
21933 hyacine	hyacine
21934 hyades	hyades
21935 hyads	hyads
21936 hyaena	hina
21937 hyalea	hyalea
21938 hyaline	hyaline
21939 hyalite	Halite
21940 hyalography	thanh ky
21941 hyaloid	hyaloid
21942 hyalonema	Halonima
21943 hyalophane	hyalophane
21944 hyalospongia	hyalospongia
21945 hyalotype	hyalotype
21946 hybernacle	hybernacle
21947 hybernate	hybernate
21948 hybernation	ngu dong
21949 hyblaean	hyblaean
21950 hybodont	hybodont
21951 hybodus	hybodus
21952 hybridist	nguoi lai tap
21953 hybridity	su lai tap
21954 hybridizable	co the lai ghep
21955 hybridization	su lai tao
21956 hybridizer	nguoi lai tao
21957 hybridizing	lai tao
21958 hydantoic	hydantoic
21959 hydantoin	hydantoin
21960 hydatid	hydatid
21961 hydatiform	hydatidiform
21962 hydatoid	hydatoid
21963 hydr-	hydr
21964 hydra	hydra
21965 hydra-tainted	bi nhiem doc hydra
21966 hydrachnid	Do ben
21967 hydracrylic	hydracrylic
21968 hydractinian	hydractinian
21969 hydrae	hydrae
21970 hydraemia	hydraemia
21971 hydragogue	hydragogue
21972 hydramide	hydramide
21973 hydramine	hydramine
21974 hydrangea	cay tu cau
21975 hydranth	hydranth
21976 hydrargochloride	hydrargochloride
21977 hydrargyrate	hydrargyrate
21978 hydrarthrosis	hydrarthrosis
21979 hydras	hydras
21980 hydrastine	hydrastine
21981 hydration	hydrat hoa
21982 hydraulics	Mon thuy luc
21983 hydrazine	hydrazine
21984 hydrencephsloid	hydrencephsloid
21985 hydriad	hydriad
21986 hydric	hydric
21987 hydride	hydrua
21988 hydriform	hydriform
21989 hydrina	hydrina
21990 hydriodate	hydriodate
21991 hydriodic	hydriodic
21992 hydriodide	Doc Hydro
21993 hydro-	hydro-
21994 hydro-electric	thuy dien
21995 hydro-extractor	may chiet xuat thuy luc
21996 hydrobarometer	thuy ap ke
21997 hydrobilirubin	hydrobilirubin
21998 hydrobranchiata	hydrobranchiata
21999 hydrobromate	hydrobromate
22000 hydrobromic	hydrobromic
22001 hydrobromide	hydrobromide
22002 hydrocarbon	hidrocacbon
22003 hydrocarbonaceous	hydrocacbon
22004 hydrocarbonate	hidrocacbonat
22005 hydrocarbostyril	hydrocarbostyril
22006 hydrocarburet	hydrocarburet
22007 hydrocauli	hydrocauli
22008 hydrocaulus	hydrocaulus
22009 hydrocele	hydrocele
22010 hydrocephalic	tran nuoc
22011 hydrocephalus	nao ung thuy
22012 hydrochlorate	clohydrat
22013 hydrochloric	clohydric
22014 hydrochloride	hydrochloride
22015 hydrocorallia	hydrocorallia
22016 hydrocyanate	hydrocyanate
22017 hydrocyanic	cy an hyt ric
22018 hydrocyanide	hydrocyanide
22019 hydrodynamics	thuy dong luc hoc
22020 hydrodynamometer	thuy dong luc ke
22021 hydroferricyanic	hydroferricyanic
22022 hydroferrocyanic	hydroferrocyanic
22023 hydrofluate	lam troi
22024 hydrofluoric	hydrofluoric
22025 hydrofluosilicate	hydrofluosilicat
22026 hydrofluosilicic	hydrofluosilicic
22027 hydrogalvanic	hydrogalvanic
22028 hydrogenate	hydrogenat
22029 hydrogenide	hydrogenide
22030 hydrogenium	hydrogenium
22031 hydrogenizing	hydro hoa
22032 hydrogenous	thuy sinh
22033 hydrognosy	hydrognosy
22034 hydrogode	hydrogode
22035 hydroguret	hydroguret
22036 hydroid	hydroid
22037 hydroidea	hydroidea
22038 hydrokinetic	hydrokinetic
22039 hydrologist	nha thuy van hoc
22040 hydrolytic	thuy phan
22041 hydromagnesite	hyd magnezit
22042 hydromancy	thuy cham
22043 hydromechanics	thuy co hoc
22044 hydromedusa	hydromedusa
22045 hydromedusae	hydromedusae
22046 hydromellonic	hydromellonic
22047 hydrometallurgical	luyen kim thuy luc
22048 hydrometeorology	khi tuong thuy van
22049 hydrometer	ty trong ke
22050 hydrometrograph	may do thuy van
22051 hydrometry	thuy ke
22052 hydromica	hydromica
22053 hydronephrosis	than u nuoc
22054 hydropath	hydropath
22055 hydropathical	thuy than
22056 hydropathist	hydropathist
22057 hydropathy	benh thuy thung
22058 hydroperitoneum	mang bung
22059 hydrophane	hydrophane
22060 hydrophid	hydrophid
22061 hydrophlorone	hydrophlorone
22062 hydrophobia	chung so nuoc
22063 hydrophobic	ky nuoc
22064 hydrophoby	thuy phi co
22065 hydrophora	hydrophora
22066 hydrophyllia	hydrophyllia
22067 hydrophyllium	hydrophyllium
22068 hydrophylliums	hydrophylliums
22069 hydrophyte	hydrophyte
22070 hydrophytology	thuy sinh hoc
22071 hydropically	ua nuoc
22072 hydropiper	chat chong tham nuoc
22073 hydropneumatic	khi nen
22074 hydropsy	hydropsy
22075 hydropult	hydropult
22076 hydroquinone	hydroquinone
22077 hydrorhiza	hydrorhiza
22078 hydrorhizae	hydrorhizae
22079 hydrorhizas	hydrorhizas
22080 hydrosalt	hydrosalt
22081 hydroscope	kinh thuy tinh the
22082 hydroshiba	orz
22083 hydrosoma	hydrosoma
22084 hydrosome	hydrosome
22085 hydrosorbic	ky khi
22086 hydrostat	hydrostat
22087 hydrostatician	nha thuy van
22088 hydrostatics	thuy tinh
22089 hydrosulphate	hydrosulphat
22090 hydrosulphide	hydrosulphide
22091 hydrosulphite	hydrosulphite
22092 hydrosulphuret	hydrosulphuret
22093 hydrosulphureted	hydrosulphureted
22094 hydrosulphuric	hydrosulphuric
22095 hydrotellurate	hydrotellurate
22096 hydrotelluric	hydrotelluric
22097 hydrothecae	hydrotheca
22098 hydrothecas	hydrothecas
22099 hydrotherapy	thuy lieu phap
22100 hydrothermal	thuy nhiet
22101 hydrothorax	hydrothorax
22102 hydrotic	hydrotic
22103 hydrotical	thuy van
22104 hydrotrope	hydrotrope
22105 hydrotropic	hydrotropic
22106 hydrotropism	chu nghia thuy sinh
22107 hydroxanthane	hydroxanthane
22108 hydroxanthic	hydroxanthic
22109 hydroxide	hydroxit
22110 hydroxy-	hydroxy-
22111 hydroxyl	hydroxyl
22112 hydroxylamine	hydroxylamine
22113 hydrozoa	hydro
22114 hydrozoal	hydrozoal
22115 hydrozoons	hydrozoon
22116 hydruret	hydruret
22117 hye	hye
22118 hyemation	su ca tung
22119 hyen	linh cau
22120 hyenas	Linh cau
22121 hyetal	hyetal
22122 hygeia	hygeia
22123 hygeian	hygeian
22124 hygeist	hygeist
22125 hygienic	hop ve sinh
22126 hygienist	nhan vien ve sinh
22127 hygrine	hygrine
22128 hygrodeik	hygrodeik
22129 hygrograph	may do do am
22130 hygrology	khoa hoc sinh hoc
22131 hygrometer	am ke
22132 hygrometrical	do do am
22133 hygrometry	phep do do am
22134 hygrophanous	co tinh chat giong duc
22135 hygrophthalmic	nhan khoa
22136 hygroplasm	hygroplasm
22137 hygroscope	may hut am
22138 hygroscopicity	hut am
22139 hygrostatics	thuoc kim ham
22140 hying	che giau
22141 hylaeosaurus	hylaeosaurus
22142 hylarchical	hylarchical
22143 hyleosaur	hyleosaur
22144 hylic	hylic
22145 hylicist	bac si hylicist
22146 hylism	hylism
22147 hylodes	hylodes
22148 hyloist	nguoi noi hyloist
22149 hylopathism	chung loan luan
22150 hylopathist	hylopathist
22151 hylophagous	giong cay co
22152 hylotheism	chung hylotheism
22153 hylotheist	bac si hylotheist
22154 hylozoic	hylozoic
22155 hylozoism	hylozoism
22156 hylozoist	hylozoist
22157 hymar	hymar
22158 hymen	than hon nhan
22159 hymenean	hymenean
22160 hymenia	hymenia
22161 hymenium	hymenium
22162 hymeniums	hoa hymeniums
22163 hymenomycetes	hymenomycetes
22164 hymenophore	hymenophore
22165 hymenopter	hymenopter
22166 hymenoptera	hymenoptera
22167 hymenopteral	hymenopteral
22168 hymenopteran	hymenopteran
22169 hymn	Thanh ca
22170 hymnist	nguoi viet thanh ca
22171 hymnographer	nha viet thanh ca
22172 hymnologist	nha thanh ca
22173 hymnology	thanh ca
22174 hympne	hympne
22175 hyndreste	ngua nghi ngoi
22176 hyne	da vao
22177 hyo-	hyo-
22178 hyoganoidei	Hyo dang bo
22179 hyoglossal	hyoglossal
22180 hyoglossus	hyoglossus
22181 hyoideal	hyoideal
22182 hyoidean	hyoid
22183 hyomandibular	con nguoi
22184 hyopastron	hyopastron
22185 hyoscine	hyoscine
22186 hyoscyamine	hyoscyamine
22187 hyoscyamus	hyoscyamus
22188 hyosternal	hyosternal
22189 hyostylic	hyostylic
22190 hyp	hyp
22191 hypaethral	ha than kinh
22192 hypanthia	hypanthia
22193 hypanthium	hypanthium
22194 hypanthiums	qua sung
22195 hypapophyles	hypapophyles
22196 hypapophysis	chung loan nhip
22197 hyparterial	duoi dong mach
22198 hypaxial	duoi truc
22199 hyperaesthesia	chung loan cam
22200 hyperapophyses	hyperapophyses
22201 hyperapophysis	hyperapophysis
22202 hyperaspist	hyperaspist
22203 hyperbaton	hyperbaton
22204 hyperbola	hyperbola
22205 hyperbolically	hypebol
22206 hyperboliform	hyperboliform
22207 hyperbolism	hypebolism
22208 hyperbolist	hyperbolist
22209 hyperbolize	hyperbolize
22210 hyperbolized	hyperbolized
22211 hyperbolizing	hyperbolizing
22212 hyperboloid	hypeboloid
22213 hypercarbureted	hypercarbureted
22214 hyperchloric	hyperchloric
22215 hyperchromatism	benh tang sac to
22216 hypercritically	sieu toi han
22217 hyperdulia	tang mo mau
22218 hypericum	hypericum
22219 hyperion	hyperion
22220 hyperkinesis	hyperkinesis
22221 hyperkinetic	sieu dong hoc
22222 hypermetamorphosis	sieu bien hinh
22223 hypermetropia	hypermetropia
22224 hypermetropy	sieu doi xung
22225 hypermyriorama	hypermyriorama
22226 hypernoea	hypernoea
22227 hyperoartia	hyperoartia
22228 hyperopia	vien thi
22229 hyperorganic	hyperorganic
22230 hyperorthodoxy	hyperorthodoxy
22231 hyperotreta	hyperotreta
22232 hyperoxide	hyperoxide
22233 hyperoxygenated	hyperoxygenated
22234 hyperoxygenized	hyperoxy hoa
22235 hyperoxymuriate	hyperoxymuriate
22236 hyperoxymuriatic	hyperoxymuriatic
22237 hyperplastic	tang san
22238 hyperpyrexia	hyperpyrexia
22239 hypersensibility	qua man cam
22240 hyperspace	sieu khong gian
22241 hypersthene	hypersthene
22242 hypersthenic	hypersthenic
22243 hyperthetical	sieu than giao
22244 hyperthyrion	cuong giap
22245 hypertrophy	phi dai
22246 hypethral	hypethral
22247 hyphening	gach noi
22248 hyphomycetes	hyphomycetes
22249 hypidiomorphic	hypidiomorphic
22250 hypnagogic	hypnagogic
22251 hypnocyst	nguoi thoi mien
22252 hypnologist	nha thoi mien
22253 hypnotism	thuat thoi mien
22254 hypnotization	su thoi mien
22255 hypnotized	bi thoi mien
22256 hypnotizer	thuoc thoi mien
22257 hypnum	hypna
22258 hypo-	hy-
22259 hypoaria	hy lap
22260 hypoarion	hypoarion
22261 hypoblast	nguyen bao nho
22262 hypoblastic	khong deo dai
22263 hypobranchial	ha phe quan
22264 hypocarpium	hypocarpium
22265 hypocaust	su tan pha
22266 hypochlorite	hypoclorit
22267 hypochlorous	thieu clo
22268 hypochondria	chung dao duc gia
22269 hypochondriasis	hypochondriasis
22270 hypochondriasm	chung suy nhuoc
22271 hypochondriums	hypochondrium
22272 hypocist	ke dao duc gia
22273 hypocleida	hypocleida
22274 hypocleidium	hypocleidium
22275 hypocleidiums	hypocleidiums
22276 hypocraterimorphous	gia hinh thai
22277 hypocrystalline	gia tinh the
22278 hypocycloid	di boi
22279 hypodactylum	hypodactylum
22280 hypoderm	lop duoi chan
22281 hypoderma	hypoderma
22282 hypodermatic	ha bi
22283 hypodermis	hypodermis
22284 hypodicrotic	sieu vi trung
22285 hypogaeic	suy nhuoc co the
22286 hypogastric	ha vi
22287 hypogastrium	ha tam vi
22288 hypogea	hypogea
22289 hypogean	hypogean
22290 hypogene	giam gen
22291 hypogyn	hypogyn
22292 hypogynous	ha duong huyet
22293 hypohyal	giam nhip dieu
22294 hyponasty	cuong dieu
22295 hyponitrite	hynitrit
22296 hyponitrous	thieu khi
22297 hypopharynx	hau hong
22298 hypophosphate	hypophosphat
22299 hypophosphite	hypophosphite
22300 hypophosphoric	hypophosphoric
22301 hypophosphorous	hypophosphorous
22302 hypophyllous	hypophyllous
22303 hypophysial	yeu sinh ly
22304 hypophysis	chung loan nhip tim
22305 hypoplastra	hypoplastra
22306 hypoplastron	hypoplastron
22307 hypoptila	hypoptila
22308 hypoptilum	hypoptium
22309 hypoptilums	hypoptilums
22310 hyporadii	hyporadii
22311 hyporadius	hyporadius
22312 hyporhachides	hyporhachides
22313 hyporhachis	hyporhachis
22314 hypospadias	hypospadias
22315 hypostases	giam chi so
22316 hypostasis	su giam can
22317 hypostasize	giam kich thuoc
22318 hypostatic	giam tinh
22319 hypostatically	ha tinh
22320 hypostatize	giam on dinh
22321 hyposterna	hyposterna
22322 hyposternums	hysternums
22323 hypostoma	u mau
22324 hypostome	hystome
22325 hypostrophe	hystrophe
22326 hypostyle	phong cach hy sinh
22327 hyposulphate	hyposulphat
22328 hyposulphite	hyposulphite
22329 hyposulphuric	hyposulphuric
22330 hyposulphurous	giam luu huynh
22331 hypotarsi	vung duoi
22332 hypotarsus	vung duoi chan
22333 hypothenal	gia thiet
22334 hypothenuse	canh huyen
22335 hypothetist	nha gia thuyet
22336 hypotrachelium	ha khi quan
22337 hypotricha	gia thuyet
22338 hypotrochoid	hyprochoid
22339 hypotyposis	benh giam can
22340 hypoxanthin	hypoxanthin
22341 hypozoic	ha nguyen sinh
22342 hyppish	hyppish
22343 hyppogriff	ha ma
22344 hypsiloid	hypsiloid
22345 hypsometric	hypsometric
22346 hypsometrical	thuoc ve than kinh
22347 hyracoid	hyracoid
22348 hyracoidea	hyracoidea
22349 hyrax	hyrax
22350 hyrcan	hyrcan
22351 hyrcanian	hyrcanian
22352 hyrst	hyrst
22353 hyson	hyson
22354 hyssop	rau kinh gioi
22355 hysteranthous	hysteranthous
22356 hysteric	hys luster c
22357 hysterics	cuong loan
22358 hysteroepilepsy	chung dong kinh hystero
22359 hysterogenic	hysterogenic
22360 hysterophyte	hysterophyte
22361 hysterotomy	cat tu cung
22362 hystricine	hystricine
22363 hystricomorphous	hystricomorphous
22364 hystrix	hystrix
22365 hythe	hythe
22366 i o u	cho ban
22367 i-	toi-
22368 i. e.	I E.
22369 iamatology	iamatology
22370 iamb	iamb
22371 iambic	iambic
22372 iambically	thuoc ve tinh cam
22373 iambize	da goi cho anh ay
22374 iambus	iambus
22375 iambuses	iambuses
22376 ianthinae	Ianthina
22377 ianthinas	Yanthina
22378 iatric	iatric
22379 iatrochemical	hoa chat sat
22380 iatrochemist	nha gia kim
22381 iatrochemistry	iatrochemistry
22382 iatromathematical	iatromathetic
22383 iatromathematician	iatromathemati bac si
22384 iberian	nguoi iberia
22385 ibexes	ibexes
22386 ibices	ibices
22387 ibidem	ibid
22388 ibis	ibis
22389 ical	ical
22390 icarian	icarian
22391 ice	Nuoc da
22392 ice plant	cay bang
22393 ice-built	xay bang bang
22394 iceberg	tang bang troi
22395 icebird	con chim bang
22396 icebound	icebound
22397 icefall	da roi
22398 iceland moss	reu iceland
22399 iceland spar	iceland spar
22400 icelander	icelander
22401 icelandic	tieng Iceland
22402 icemen	nguoi bang
22403 ichneumon	ichneumon
22404 ichneumonidan	tu ichneumon
22405 ichneumonides	ichneumonides
22406 ichnite	nhung nguoi
22407 ichnographic	ichnographic
22408 ichnographical	ichnographical
22409 ichnography	ichnography
22410 ichnolite	cac ichnols
22411 ichnolithology	ichnolithology
22412 ichnological	ichnological
22413 ichnology	ichnology
22414 ichnoscopy	noi soi ichnoscopy
22415 ichor	ichor
22416 ichorhaemia	ichorhaemia
22417 ichthidin	ichthidine
22418 ichthulin	ichthulin
22419 ichthus	ichthus
22420 ichthyic	ichthyic
22421 ichthyocol	ichthyocol
22422 ichthyocolla	ichthyocolla
22423 ichthyocoprolite	ichthyocoprolite
22424 ichthyodorulite	ichthyodorulite
22425 ichthyography	may do dac
22426 ichthyoidal	ichthyoid
22427 ichthyolatry	ichthyolatry
22428 ichthyolite	ichthyolite
22429 ichthyologist	nha ngu hoc
22430 ichthyology	ngu hoc
22431 ichthyomancy	thuat phong thuy
22432 ichthyomorpha	ichthyomorpha
22433 ichthyomorphic	ichthyomorphic
22434 ichthyomorphous	ichthyomorphosis
22435 ichthyoomy	ichthyoomy
22436 ichthyophagist	ichthyophagist
22437 ichthyophagous	ichthyophagous
22438 ichthyophthalmite	ichthyophthalmite
22439 ichthyophthira	ichthyophthira
22440 ichthyopsida	ichthyopsida
22441 ichthyopterygium	ichthyopterygia
22442 ichthyornis	ichthyornis
22443 ichthyosaur	ichthyosaur
22444 ichthyosauri	ichthyosauri
22445 ichthyosauria	ichthyosauria
22446 ichthyosaurian	ichthyosaurian
22447 ichthyosaurus	ichthyosaurus
22448 ichthyosis	ichthyosis
22449 ichthyotomist	ichthyotomist
22450 ichthys	ichthys
22451 iciness	su kinh ngac
22452 icing	Dong bang
22453 iconism	chu nghia tuong trung
22454 iconize	bieu tuong hoa
22455 iconoclast	nguoi dap pha cach
22456 iconoclastic	iconoclastic
22457 iconodulist	nguoi viet bieu tuong
22458 iconographer	nha bieu tuong hoc
22459 iconolater	iconolater
22460 iconolatry	iconolatry
22461 iconology	bieu tuong hoc
22462 iconophilist	iconophilist
22463 icosahedral	hinh tam dien
22464 icosahedron	icosahedron
22465 icosandria	icosandria
22466 icosandrian	nguoi icosandrian
22467 icositetrahedron	icositetrahedron
22468 icteric	icteric
22469 icterical	thuoc ve tuong trung
22470 icteroid	icteroid
22471 ictic	ictic
22472 icy-pearled	bang gia
22473 ide	no di
22474 idea	y kien
22475 idealess	khong ly tuong
22476 idealism	chu nghia duy tam
22477 idealist	nguoi duy tam
22478 idealizer	nguoi ly tuong hoa
22479 idealizing	ly tuong hoa
22480 ideate	thiet ke
22481 identifiable	co the nhan dang duoc
22482 identification	nhan biet
22483 identify	nhan dinh
22484 identism	chu nghia dong nhat
22485 identities	danh tinh
22486 identity	xac thuc
22487 ideo-motion	chuyen dong tuong tuong
22488 ideo-motor	dong co Ideo
22489 ideography	ly tuong
22490 ideologist	y thuc he
22491 ideology	he tu tuong
22492 ides	ides
22493 idio-	tuong tu-
22494 idioblast	idioblast
22495 idiocrasis	chung ngu ngoc
22496 idiocratic	ngu dan
22497 idioelectric	idio dien
22498 idiom	cach dien dat
22499 idiomuscular	thanh ngu
22500 idiopathy	benh ngu ngoc
22501 idioplasma	dac thu
22502 idiosyncrasies	dac diem rieng
22503 idiosyncrasy	khi chat
22504 idiot	thang ngoc
22505 idiothermic	idiothermic
22506 idiotically	mot cach ngu ngoc
22507 idiotize	lam ngu ngoc
22508 idle-pated	nhan roi
22509 idleness	su nhan roi
22510 idler	nguoi lam bieng
22511 idlesse	idlesse
22512 idling	chay khong tai
22513 idly	vu vo
22514 idocrase	idocrase
22515 idolatress	nu than tuong
22516 idolatry	tho than tuong
22517 idolism	chu nghia than tuong
22518 idolist	nguoi theo chu nghia than tuong
22519 idolizer	than tuong hoa
22520 idolographical	thuoc ve than tuong hoc
22521 idolous	than tuong
22522 idorgan	idorgan
22523 idrialine	idrialine
22524 idrialite	hydrialite
22525 idumean	idumean
22526 idyl	canh dong que
22527 idyllic	binh di
22528 igasurine	Ikasuri
22529 igloo	nha tuyet
22530 ignatius bean	Dau Ignatius
22531 ignes fatui	ngon lua cua nhung ke ngu ngoc
22532 ignicolist	nguoi theo chu nghia bieu tuong
22533 ignipotence	su boc chay
22534 ignitible	de bat lua
22535 igniting	bat lua
22536 ignivomous	boc chay
22537 ignobleness	su ngu dot
22538 ignominies	su de tien
22539 ignoramus	chung toi khong biet
22540 ignorantism	chu nghia ngu dot
22541 ignorantist	nguoi dot nat
22542 ignore	phot lo
22543 ignoring	lam ngo
22544 iguana	Ky nhong
22545 iguanian	iguanian
22546 iguanid	cu da
22547 iguanodon	Iguanodon
22548 iguanodont	iguanodon
22549 iguanoid	iguanoid
22550 ihram	ihram
22551 il-	cac-
22552 ileac	ileac
22553 ileocaecal	ileocaecal
22554 ileocolic	ileocolic
22555 ileus	hoi trang
22556 ilex	cay o ro
22557 iliac	iliac
22558 iliacal	iliacal
22559 ilial	ilial
22560 iliche	an no di
22561 ilicic	ilicic
22562 ilicin	Ilicin
22563 ilio-	chu cho-
22564 iliofemoral	iliofemoral
22565 iliopsoas	iliopsoas
22566 ilium	xuong hong
